Item,Frequency (focus),Frequency (reference),Relative frequency (focus),Relative frequency (reference),Score
u003embbs,13,0,10.43450,0.00000,11.435
hlb,14,1186,11.23715,0.07695,11.363
azulfidine,13,107,10.43450,0.00694,11.356
fy13,17,4482,13.64512,0.29082,11.346
symptom,602,643130,483.19763,41.73003,11.332
proudfoot,14,1245,11.23715,0.08078,11.322
fy18,13,181,10.43450,0.01174,11.302
sickle,35,24455,28.09289,1.58678,11.247
adverse,199,205009,159.72812,13.30218,11.238
onc,18,5824,14.44777,0.37790,11.211
lasota,13,314,10.43450,0.02037,11.206
jersey,675,731323,541.79138,47.45250,11.203
ga,137,137295,109.96358,8.90850,11.199
pulmonary,87,82148,69.83089,5.33024,11.189
uofl,14,1449,11.23715,0.09402,11.185
malfunction,59,51278,47.35658,3.32722,11.175
medicago,14,1488,11.23715,0.09655,11.160
resuscitation,32,21497,25.68493,1.39485,11.143
pgy-3,13,404,10.43450,0.02621,11.142
antigen,96,92646,77.05477,6.01141,11.133
roles,33,22932,26.48758,1.48796,11.048
top-up,20,8399,16.05308,0.54498,11.038
unapproved,18,6163,14.44777,0.39989,11.035
influenza-like,14,1700,11.23715,0.11031,11.021
contaminated,76,71495,61.00170,4.63901,10.995
cowpox,13,632,10.43450,0.04101,10.984
administer,342,371509,274.50763,24.10567,10.974
high-risk,62,55920,49.76454,3.62842,10.968
tel,194,204857,155.71486,13.29232,10.965
hl7,17,5173,13.64512,0.33565,10.965
ephi,13,665,10.43450,0.04315,10.962
naturalism,21,9700,16.85573,0.62939,10.959
disaster,669,742312,536.97546,48.16553,10.942
weakened,26,15413,20.86900,1.00009,10.934
ade,22,10913,17.65839,0.70810,10.923
disclaimer,63,57344,50.56720,3.72081,10.923
stringent,69,64155,55.38312,4.16275,10.921
supply-chain,16,4141,12.84246,0.26869,10.911
p5,29,18935,23.27696,1.22861,10.893
middlesex,38,29322,30.50085,1.90258,10.853
internist,17,5400,13.64512,0.35038,10.845
disinfection,28,18015,22.47431,1.16892,10.823
de-identified,15,3167,12.03981,0.20549,10.817
t3,27,16893,21.67166,1.09612,10.816
covering,47,39768,37.72473,2.58038,10.816
ast,29,19207,23.27696,1.24626,10.808
morbidity,55,49071,44.14597,3.18401,10.790
epidemiologic,22,11338,17.65839,0.73568,10.750
hepatitis,98,98859,78.66008,6.41455,10.744
pharmacovigilance,17,5688,13.64512,0.36907,10.697
no-cost,19,8021,15.25042,0.52045,10.688
medication,408,458355,327.48279,29.74075,10.686
subash,13,1106,10.43450,0.07176,10.669
dd85756d-53cf-4600-b58e-99bb22f02aaf,12,0,9.63185,0.00000,10.632
hcids,12,0,9.63185,0.00000,10.632
kchcs,12,2,9.63185,0.00013,10.630
nlsps,12,2,9.63185,0.00013,10.630
emergrncy,12,3,9.63185,0.00019,10.630
fy12-14,12,7,9.63185,0.00045,10.627
antigenic,19,8163,15.25042,0.52966,10.624
varicella,15,3512,12.03981,0.22788,10.620
absenteeism,24,14000,19.26369,0.90840,10.618
reoc,12,47,9.63185,0.00305,10.600
immuno-modulator,12,56,9.63185,0.00363,10.593
self-isolating,12,63,9.63185,0.00409,10.589
grey-bruce,12,73,9.63185,0.00474,10.582
non-medical,21,10618,16.85573,0.68896,10.572
cross-state,13,1298,10.43450,0.08422,10.546
lockdown,22,11857,17.65839,0.76935,10.545
authorize,243,271127,195.04489,17.59230,10.544
hospitalist,16,4872,12.84246,0.31612,10.518
katzenberger,12,185,9.63185,0.01200,10.506
vomiting,42,35570,33.71146,2.30799,10.493
credentialing,24,14378,19.26369,0.93293,10.483
porta,21,10895,16.85573,0.70693,10.461
whitmer,15,3808,12.03981,0.24709,10.456
capacity-building,28,19190,22.47431,1.24516,10.456
ambulatory,36,28677,28.89554,1.86073,10.450
exacerbation,21,10936,16.85573,0.70959,10.444
immunosuppressive,18,7400,14.44777,0.48016,10.437
plant-based,25,15708,20.06635,1.01923,10.433
tac,29,20466,23.27696,1.32795,10.428
webeoc,12,317,9.63185,0.02057,10.418
jaundice,23,13458,18.46104,0.87323,10.389
telework,17,6340,13.64512,0.41138,10.376
physician,464,539280,372.43140,34.99163,10.376
outpatient,103,108944,82.67335,7.06892,10.370
hypertensive,18,7568,14.44777,0.49106,10.360
irct,12,405,9.63185,0.02628,10.360
revisionist,23,13580,18.46104,0.88115,10.345
staphylococcus,25,15996,20.06635,1.03791,10.337
bachmann,25,15999,20.06635,1.03811,10.336
serotype,20,10054,16.05308,0.65236,10.320
northridge,19,8885,15.25042,0.57651,10.308
autoimmune,46,41361,36.92208,2.68374,10.294
fujitsu,24,15013,19.26369,0.97413,10.265
sems,13,1790,10.43450,0.11615,10.245
intracranial,22,12682,17.65839,0.82288,10.236
prioritized,35,28423,28.09289,1.84425,10.229
dengue,39,33385,31.30350,2.16621,10.203
phrs,12,659,9.63185,0.04276,10.196
pneumoniae,18,7952,14.44777,0.51597,10.190
evacuation,87,91739,69.83089,5.95256,10.188
severity,113,123391,90.69989,8.00633,10.182
e-health,21,11649,16.85573,0.75586,10.169
multistate,14,3216,11.23715,0.20867,10.124
predominance,20,10557,16.05308,0.68500,10.121
therapeutics,43,38884,34.51412,2.52302,10.081
bolus,19,9469,15.25042,0.61440,10.066
webmd,19,9475,15.25042,0.61479,10.063
schaffner,13,2102,10.43450,0.13639,10.062
walk-in,42,37944,33.71146,2.46203,10.026
jee,21,12116,16.85573,0.78616,9.997
niosh,16,5936,12.84246,0.38516,9.993
response,2265,2797310,1818.01099,181.50581,9.967
disproportionately,46,43268,36.92208,2.80748,9.960
recommended,130,147954,104.34501,9.60012,9.938
national-level,16,6063,12.84246,0.39340,9.934
hematological,15,4824,12.03981,0.31301,9.931
redeploy,18,8581,14.44777,0.55679,9.923
ied,27,19825,21.67166,1.28636,9.916
herpes,33,27372,26.48758,1.77606,9.902
dac,29,22401,23.27696,1.45351,9.895
diltiazem,12,1185,9.63185,0.07689,9.873
coordinate,691,853485,554.63385,55.37909,9.855
norovirus,15,4983,12.03981,0.32333,9.854
mfg,15,5025,12.03981,0.32605,9.834
aftcor,11,0,8.82919,0.00000,9.829
vyles,11,3,8.82919,0.00019,9.827
shicc,11,4,8.82919,0.00026,9.827
visotcky,11,5,8.82919,0.00032,9.826
emog,11,8,8.82919,0.00052,9.824
rapid-result,11,10,8.82919,0.00065,9.823
impacted,25,17643,20.06635,1.14478,9.822
apa,59,60587,47.35658,3.93124,9.806
icnarc,11,37,8.82919,0.00240,9.806
mers-cov,14,3823,11.23715,0.24806,9.805
antibiotic,163,191903,130.83258,12.45179,9.800
diff,40,36659,32.10616,2.37865,9.799
svi,12,1314,9.63185,0.08526,9.797
health-care,38,34150,30.50085,2.21585,9.795
non-influenza,11,57,8.82919,0.00370,9.793
provider,1155,1446837,927.06531,93.87923,9.782
ercp,13,2610,10.43450,0.16935,9.778
fms,20,11477,16.05308,0.74469,9.774
nrl,20,11486,16.05308,0.74528,9.771
phe,17,7697,13.64512,0.49943,9.767
multisystem,12,1367,9.63185,0.08870,9.766
mdhhs,11,104,8.82919,0.00675,9.763
prioritize,61,63490,48.96189,4.11960,9.759
non-icu,11,152,8.82919,0.00986,9.733
post-pandemic,11,171,8.82919,0.01110,9.721
thrombosis,24,16756,19.26369,1.08723,9.708
severe,477,594185,382.86591,38.55420,9.705
pecarn,11,203,8.82919,0.01317,9.701
biosecurity,27,20622,21.67166,1.33808,9.697
decisional,13,2762,10.43450,0.17921,9.697
tularemia,12,1493,9.63185,0.09687,9.693
ileitis,11,229,8.82919,0.01486,9.685
mg,226,274973,181.39978,17.84185,9.681
meoc,11,258,8.82919,0.01674,9.667
borrelia,13,2824,10.43450,0.18324,9.664
leptospirosis,14,4109,11.23715,0.26662,9.661
gastrointestinal,51,51525,40.93535,3.34324,9.655
glycol,22,14402,17.65839,0.93449,9.645
burkholderia,12,1582,9.63185,0.10265,9.642
mib,23,15720,18.46104,1.02001,9.634
aefi,11,319,8.82919,0.02070,9.630
epinephrine,14,4174,11.23715,0.27083,9.629
infarction,28,22179,22.47431,1.43910,9.624
tpmt,11,349,8.82919,0.02265,9.612
patient,3187,4097979,2558.05811,265.90079,9.588
remains,78,87101,62.60700,5.65162,9.563
conops,11,478,8.82919,0.03102,9.534
nimmer,11,486,8.82919,0.03153,9.529
hospitalisation,18,9585,14.44777,0.62193,9.524
chickenpox,13,3098,10.43450,0.20102,9.521
clostridial,11,509,8.82919,0.03303,9.515
immunodeficiency,24,17414,19.26369,1.12992,9.514
radionuclide,21,13524,16.85573,0.87752,9.510
antibody-dependent,11,522,8.82919,0.03387,9.507
insular,21,13546,16.85573,0.87894,9.503
microgram,17,8377,13.64512,0.54355,9.488
hcp,16,7090,12.84246,0.46004,9.481
facilities,87,99816,69.83089,6.47664,9.474
pgy-2,11,586,8.82919,0.03802,9.469
gastroenteritis,15,5843,12.03981,0.37913,9.455
guidance,587,754732,471.15784,48.97142,9.449
redeployment,16,7198,12.84246,0.46705,9.436
moderately,47,47906,37.72473,3.10842,9.426
preventable,41,40106,32.90881,2.60231,9.413
ebola,114,136115,91.50254,8.83194,9.408
inpatient,69,77126,55.38312,5.00439,9.390
pgy-1,11,733,8.82919,0.04756,9.383
honiara,12,2054,9.63185,0.13328,9.382
ae,45,45568,36.11943,2.95672,9.381
dopamine,28,23261,22.47431,1.50931,9.355
hypokalemia,11,828,8.82919,0.05373,9.328
country-level,13,3494,10.43450,0.22671,9.321
cross-cutting,21,14114,16.85573,0.91580,9.320
point-to-point,18,10190,14.44777,0.66119,9.299
rna,106,127300,85.08131,8.25997,9.296
care,4300,5723105,3451.41187,371.34845,9.272
back-up,37,35697,29.69819,2.31623,9.257
misfolded,12,2345,9.63185,0.15216,9.228
containment,48,50811,38.52739,3.29691,9.199
noncompliance,17,9201,13.64512,0.59701,9.170
near-term,21,14621,16.85573,0.94870,9.163
clot,40,40275,32.10616,2.61328,9.162
rabies,41,41636,32.90881,2.70159,9.161
metronidazole,13,3864,10.43450,0.25072,9.142
rounds,20,13389,16.05308,0.86876,9.125
vfc,11,1228,8.82919,0.07968,9.104
waiver,96,117006,77.05477,7.59203,9.085
timeliness,23,17618,18.46104,1.14316,9.081
tts,15,6791,12.03981,0.44064,9.051
remission,35,34153,28.09289,2.21605,9.046
retrovirus,16,8177,12.84246,0.53057,9.044
mers,17,9587,13.64512,0.62206,9.029
crossrefgoogle,10,0,8.02654,0.00000,9.027
eyewear3,10,0,8.02654,0.00000,9.027
covishield,10,0,8.02654,0.00000,9.027
molnupiravir,10,0,8.02654,0.00000,9.027
corbevax,10,0,8.02654,0.00000,9.027
medicalinfoupdate8,10,0,8.02654,0.00000,9.027
scholarpubmed,10,0,8.02654,0.00000,9.027
mask5,10,4,8.02654,0.00026,9.024
psirides,10,5,8.02654,0.00032,9.024
mhoac,10,7,8.02654,0.00045,9.022
evidence2,10,12,8.02654,0.00078,9.020
nigrovic,10,13,8.02654,0.00084,9.019
fy15-17,10,39,8.02654,0.00253,9.004
pidac,10,45,8.02654,0.00292,9.000
ciadm,10,56,8.02654,0.00363,8.994
behavioral,219,287724,175.78120,18.66921,8.988
eaidsnet,10,79,8.02654,0.00513,8.981
incident-related,10,101,8.02654,0.00655,8.968
occ,18,11159,14.44777,0.72406,8.960
jurisdiction-specific,10,141,8.02654,0.00915,8.945
panepinto,10,157,8.02654,0.01019,8.936
babesia,11,1547,8.82919,0.10038,8.933
ummc,11,1584,8.82919,0.10278,8.913
artery,89,109875,71.43620,7.12933,8.910
out-processing,10,202,8.02654,0.01311,8.910
ltc,20,14103,16.05308,0.91509,8.905
p6,15,7179,12.03981,0.46582,8.896
cmia,10,255,8.02654,0.01655,8.880
afenet,10,315,8.02654,0.02044,8.846
non-healthcare,10,317,8.02654,0.02057,8.845
cpip,10,328,8.02654,0.02128,8.838
clinical,978,1356634,784.99548,88.02634,8.829
glackin,10,346,8.02654,0.02245,8.828
fetp,10,410,8.02654,0.02660,8.793
ohsa,10,420,8.02654,0.02725,8.787
civ,19,13102,15.25042,0.85013,8.783
esfs,10,444,8.02654,0.02881,8.774
hypotension,14,6097,11.23715,0.39561,8.768
tuberculosis,72,87934,57.79108,5.70567,8.767
disease-specific,12,3295,9.63185,0.21380,8.759
tribal,195,261811,156.51752,16.98783,8.757
swine,39,41869,31.30350,2.71671,8.691
medlineplus,11,2025,8.82919,0.13139,8.688
dmat,10,620,8.02654,0.04023,8.677
jurisdiction,235,321435,188.62367,20.85658,8.676
portability,32,32000,25.68493,2.07635,8.674
paracetamol,15,7796,12.03981,0.50585,8.659
fccs,10,663,8.02654,0.04302,8.654
isolation,162,217964,130.02994,14.14278,8.653
parentline,10,673,8.02654,0.04367,8.649
iz,13,4968,10.43450,0.32235,8.647
sii,12,3562,9.63185,0.23112,8.636
psaps,10,700,8.02654,0.04542,8.634
mbah,10,700,8.02654,0.04542,8.634
benefits-eligible,10,724,8.02654,0.04698,8.622
fams,10,739,8.02654,0.04795,8.614
resupply,15,7935,12.03981,0.51487,8.608
wsib,10,758,8.02654,0.04918,8.603
laboratory-confirmed,11,2212,8.82919,0.14353,8.596
fqhc,11,2234,8.82919,0.14495,8.585
sodium,75,94535,60.19904,6.13398,8.579
person-to-person,13,5166,10.43450,0.33520,8.564
footnote,52,61533,41.73800,3.99262,8.560
streptococcal,11,2304,8.82919,0.14950,8.551
myocardial,31,31259,24.88227,2.02827,8.547
h5n1,17,11026,13.64512,0.71543,8.537
pharmacist,64,79201,51.36985,5.13902,8.531
abbreviation,41,45913,32.90881,2.97910,8.522
meniere,10,938,8.02654,0.06086,8.509
encephalopathy,15,8235,12.03981,0.53433,8.499
icp,18,12606,14.44777,0.81795,8.497
beyondblue,10,977,8.02654,0.06339,8.488
bloodstream,25,22889,20.06635,1.48517,8.477
urological,14,6896,11.23715,0.44745,8.454
ehrs,13,5446,10.43450,0.35337,8.449
haikou,10,1096,8.02654,0.07111,8.427
rems,11,2569,8.82919,0.16669,8.425
elr,11,2580,8.82919,0.16741,8.420
headache,111,149522,89.09458,9.70186,8.419
disclosure,180,250986,144.47771,16.28544,8.416
disseminate,116,157116,93.10785,10.19460,8.407
bioethics,18,12920,14.44777,0.83833,8.403
co-chair,90,118962,72.23885,7.71895,8.400
testing,702,1021622,563.46301,66.28880,8.389
sop,25,23309,20.06635,1.51242,8.385
speciality,35,38109,28.09289,2.47273,8.378
quality-control,10,1221,8.02654,0.07923,8.364
edema,22,18987,17.65839,1.23199,8.360
murphy,120,164410,96.31847,10.66788,8.341
ketoacidosis,10,1273,8.02654,0.08260,8.338
spleen,26,25044,20.86900,1.62500,8.331
flu-like,12,4302,9.63185,0.27914,8.312
rotavirus,15,8849,12.03981,0.57417,8.284
pursuant,100,136070,80.26539,8.82902,8.268
pcr,61,77796,48.96189,5.04786,8.261
anastomosis,14,7453,11.23715,0.48359,8.248
diagnostic,228,328424,183.00508,21.31007,8.248
h3n2,11,2960,8.82919,0.19206,8.246
acetaminophen,14,7486,11.23715,0.48574,8.236
acuity,26,25525,20.86900,1.65621,8.233
mitigation,119,165289,95.51582,10.72492,8.232
u003eclinical,9,0,7.22389,0.00000,8.224
ag-cs,9,0,7.22389,0.00000,8.224
corbevaxtm,9,0,7.22389,0.00000,8.224
post-covid-19,9,0,7.22389,0.00000,8.224
gychka,9,0,7.22389,0.00000,8.224
bnt162b2,9,0,7.22389,0.00000,8.224
ciadms,9,2,7.22389,0.00013,8.223
pre-eua,9,2,7.22389,0.00013,8.223
ecdre,9,3,7.22389,0.00019,8.222
countycounty,9,4,7.22389,0.00026,8.222
melzer-lange,9,5,7.22389,0.00032,8.221
u0026amp,9,5,7.22389,0.00032,8.221
dipentum,9,16,7.22389,0.00104,8.215
disease-surveillance,9,17,7.22389,0.00110,8.215
rowasa,9,30,7.22389,0.00195,8.208
ambulance,106,146291,85.08131,9.49221,8.204
reznek,9,39,7.22389,0.00253,8.203
self-isolate,9,39,7.22389,0.00253,8.203
exosome,15,9097,12.03981,0.59027,8.200
cmist,9,57,7.22389,0.00370,8.194
subunit,23,21210,18.46104,1.37623,8.190
dosage,57,72647,45.75127,4.71376,8.182
neurological,68,89368,54.58046,5.79872,8.175
bubonic,11,3122,8.82919,0.20257,8.173
intubation,15,9191,12.03981,0.59637,8.168
electrocardiogram,13,6171,10.43450,0.40041,8.165
intravenous,32,34957,25.68493,2.26821,8.165
board-certified,15,9206,12.03981,0.59734,8.163
meningococcal,13,6188,10.43450,0.40151,8.159
feltp,9,138,7.22389,0.00895,8.151
whooping,16,10764,12.84246,0.69843,8.150
myxedema,9,155,7.22389,0.01006,8.142
stateowned,9,166,7.22389,0.01077,8.136
rrcc,9,185,7.22389,0.01200,8.126
ala,44,53520,35.31677,3.47269,8.120
hseep,9,198,7.22389,0.01285,8.120
misfolding,10,1734,8.02654,0.11251,8.114
disease-causing,11,3259,8.82919,0.21146,8.113
sepsis,23,21565,18.46104,1.39926,8.111
sah,12,4799,9.63185,0.31139,8.107
clostridium,14,7851,11.23715,0.50942,8.107
h2n2,9,222,7.22389,0.01440,8.107
caltrans,15,9379,12.03981,0.60856,8.106
enema,18,13957,14.44777,0.90561,8.106
clinic,481,720847,386.07654,46.77276,8.102
vrc,11,3291,8.82919,0.21354,8.100
inflammation,100,139244,80.26539,9.03496,8.098
fl,100,139416,80.26539,9.04612,8.089
mmr,18,14023,14.44777,0.90989,8.088
naturalist,38,44626,30.50085,2.89560,8.086
reinfection,10,1830,8.02654,0.11874,8.068
ontario,140,201223,112.37154,13.05652,8.065
bacterial,89,123123,71.43620,7.98894,8.058
hemorrhage,25,24938,20.06635,1.61812,8.046
coronary,49,61933,39.33004,4.01857,8.036
nausea,42,51218,33.71146,3.32332,8.029
self-isolation,9,416,7.22389,0.02699,8.008
atropine,10,1984,8.02654,0.12873,7.997
vitamine,9,439,7.22389,0.02848,7.996
phs,15,9722,12.03981,0.63082,7.996
high-priority,12,5083,9.63185,0.32981,7.995
nlm,13,6647,10.43450,0.43130,7.989
allergy,95,133864,76.25212,8.68588,7.976
aureus,21,19175,16.85573,1.24419,7.956
inter-jurisdictional,9,540,7.22389,0.03504,7.945
hep,15,9887,12.03981,0.64153,7.944
correctional,43,53601,34.51412,3.47795,7.931
singhealth,9,604,7.22389,0.03919,7.914
nchs,10,2171,8.02654,0.14087,7.912
abdominal,61,81912,48.96189,5.31493,7.912
nmds,9,646,7.22389,0.04192,7.893
mcg,15,10110,12.03981,0.65600,7.874
non-pharmaceutical,9,702,7.22389,0.04555,7.866
resumption,21,19582,16.85573,1.27059,7.864
aar,13,7023,10.43450,0.45569,7.855
culturally-appropriate,9,745,7.22389,0.04834,7.845
immunology,37,45033,29.69819,2.92200,7.827
unwell,17,13467,13.64512,0.87382,7.816
gdpr,9,822,7.22389,0.05334,7.807
territorial,102,148898,81.87070,9.66137,7.773
genova,12,5680,9.63185,0.36855,7.769
pocket,248,381573,199.05817,24.75868,7.767
rapid-response,9,915,7.22389,0.05937,7.763
cumberland,32,37621,25.68493,2.44107,7.755
hyperlink,29,32861,23.27696,2.13221,7.751
ill,215,329835,172.57059,21.40162,7.748
drug-resistant,13,7334,10.43450,0.47587,7.748
azithromycin,11,4152,8.82919,0.26941,7.743
streptococcus,15,10568,12.03981,0.68571,7.735
facep,9,1000,7.22389,0.06489,7.723
p7,12,5815,9.63185,0.37731,7.719
prevention,492,776435,394.90573,50.37963,7.705
corrective,44,57233,35.31677,3.71361,7.705
mitigate,105,155182,84.27866,10.06911,7.704
statewide,132,198541,105.95032,12.88250,7.704
threats,17,13888,13.64512,0.90113,7.703
corynebacterium,9,1090,7.22389,0.07073,7.681
mumps,12,5977,9.63185,0.38782,7.661
serologic,10,2755,8.02654,0.17876,7.658
scarce,65,91842,52.17250,5.95925,7.641
psap,10,2819,8.02654,0.18291,7.631
poliomyelitis,10,2854,8.02654,0.18518,7.616
barium,14,9360,11.23715,0.60733,7.613
